Column1,Column2,Column3,Column4,Column5,Column6,Column7
2025-02-11 21:47:45,1000PEPEUSDTPerp,"2025-02-11 21:47:451000PEPEUSDTPerpOpen long0.009549526,631 1000PEPE0.00000000 USDT",Open long,0.0095495,"26,631 1000PEPE",0.00000000 USDT
2025-02-11 21:47:03,ONDOUSDTPerp,2025-02-11 21:47:03ONDOUSDTPerpOpen long1.3338000148.2 ONDO0.00000000 USDT,Open long,1.3338000,148.2 ONDO,0.00000000 USDT
2025-02-11 21:26:52,FETUSDTPerp,2025-02-11 21:26:52FETUSDTPerpOpen long0.7602000227 FET0.00000000 USDT,Open long,0.7602000,227 FET,0.00000000 USDT
2025-02-11 20:55:20,SUIUSDTPerp,2025-02-11 20:55:20SUIUSDTPerpOpen long3.34630052.1 SUI0.00000000 USDT,Open long,3.346300,52.1 SUI,0.00000000 USDT
2025-02-11 20:53:59,ONDOUSDTPerp,2025-02-11 20:53:59ONDOUSDTPerpOpen long1.3432000130.8 ONDO0.00000000 USDT,Open long,1.3432000,130.8 ONDO,0.00000000 USDT
2025-02-11 20:46:57,1000PEPEUSDTPerp,"2025-02-11 20:46:571000PEPEUSDTPerpOpen long0.009776223,275 1000PEPE0.00000000 USDT",Open long,0.0097762,"23,275 1000PEPE",0.00000000 USDT
2025-02-11 18:02:12,FETUSDTPerp,2025-02-11 18:02:12FETUSDTPerpClose long0.7946000482 FET+9.33399999 USDT,Close long,0.7946000,482 FET,+9.33399999 USDT
2025-02-11 17:54:24,SUIUSDTPerp,2025-02-11 17:54:24SUIUSDTPerpClose long3.498100109.6 SUI+11.51946000 USDT,Close long,3.498100,109.6 SUI,+11.51946000 USDT
2025-02-11 16:55:16,FETUSDTPerp,2025-02-11 16:55:16FETUSDTPerpOpen long0.7735000256 FET0.00000000 USDT,Open long,0.7735000,256 FET,0.00000000 USDT
2025-02-11 16:55:11,SUIUSDTPerp,2025-02-11 16:55:11SUIUSDTPerpOpen long3.38310048.2 SUI0.00000000 USDT,Open long,3.383100,48.2 SUI,0.00000000 USDT
2025-02-11 16:55:11,SUIUSDTPerp,2025-02-11 16:55:11SUIUSDTPerpOpen long3.38310010.0 SUI0.00000000 USDT,Open long,3.383100,10.0 SUI,0.00000000 USDT
2025-02-11 16:50:28,SUIUSDTPerp,2025-02-11 16:50:28SUIUSDTPerpOpen long3.40420051.4 SUI0.00000000 USDT,Open long,3.404200,51.4 SUI,0.00000000 USDT
2025-02-11 16:50:25,FETUSDTPerp,2025-02-11 16:50:25FETUSDTPerpOpen long0.7772000144 FET0.00000000 USDT,Open long,0.7772000,144 FET,0.00000000 USDT
2025-02-11 16:50:25,FETUSDTPerp,2025-02-11 16:50:25FETUSDTPerpOpen long0.777200046 FET0.00000000 USDT,Open long,0.7772000,46 FET,0.00000000 USDT
2025-02-11 16:50:25,FETUSDTPerp,2025-02-11 16:50:25FETUSDTPerpOpen long0.777200036 FET0.00000000 USDT,Open long,0.7772000,36 FET,0.00000000 USDT
2025-02-11 16:47:07,1000PEPEUSDTPerp,"2025-02-11 16:47:071000PEPEUSDTPerpOpen long0.009920420,238 1000PEPE0.00000000 USDT",Open long,0.0099204,"20,238 1000PEPE",0.00000000 USDT
2025-02-11 16:44:55,1000PEPEUSDTPerp,"2025-02-11 16:44:551000PEPEUSDTPerpOpen long0.009973817,878 1000PEPE0.00000000 USDT",Open long,0.0099738,"17,878 1000PEPE",0.00000000 USDT
2025-02-10 03:01:39,SUIUSDTPerp,2025-02-10 03:01:39SUIUSDTPerpClose long3.019000238.4 SUI+21.63217999 USDT,Close long,3.019000,238.4 SUI,+21.63217999 USDT
2025-02-10 02:53:45,HBARUSDTPerp,"2025-02-10 02:53:45HBARUSDTPerpClose long0.228951,960 HBAR+9.39200000 USDT",Close long,0.22895,"1,960 HBAR",+9.39200000 USDT
2025-02-10 01:52:31,ICPUSDTPerp,2025-02-10 01:52:31ICPUSDTPerpClose long6.91700065 ICP+13.46000000 USDT,Close long,6.917000,65 ICP,+13.46000000 USDT
2025-02-10 01:44:58,XRPUSDTPerp,2025-02-10 01:44:58XRPUSDTPerpClose long2.3979180.6 XRP+13.41850999 USDT,Close long,2.3979,180.6 XRP,+13.41850999 USDT
2025-02-10 01:41:34,FETUSDTPerp,2025-02-10 01:41:34FETUSDTPerpClose long0.7511000586 FET+11.96420000 USDT,Close long,0.7511000,586 FET,+11.96420000 USDT
2025-02-10 01:41:27,1000PEPEUSDTPerp,"2025-02-10 01:41:271000PEPEUSDTPerpClose long0.009343775,091 1000PEPE+21.09373868 USDT",Close long,0.0093437,"75,091 1000PEPE",+21.09373868 USDT
2025-02-10 01:41:27,1000PEPEUSDTPerp,"2025-02-10 01:41:271000PEPEUSDTPerpClose long0.00934374,030 1000PEPE+1.13206332 USDT",Close long,0.0093437,"4,030 1000PEPE",+1.13206332 USDT
2025-02-10 00:49:31,1000PEPEUSDTPerp,"2025-02-10 00:49:311000PEPEUSDTPerpOpen long0.008964229,997 1000PEPE0.00000000 USDT",Open long,0.0089642,"29,997 1000PEPE",0.00000000 USDT
2025-02-10 00:49:16,XRPUSDTPerp,2025-02-10 00:49:16XRPUSDTPerpOpen long2.316895.9 XRP0.00000000 USDT,Open long,2.3168,95.9 XRP,0.00000000 USDT
2025-02-10 00:45:34,XRPUSDTPerp,2025-02-10 00:45:34XRPUSDTPerpOpen long2.331384.7 XRP0.00000000 USDT,Open long,2.3313,84.7 XRP,0.00000000 USDT
2025-02-10 00:45:33,SUIUSDTPerp,2025-02-10 00:45:33SUIUSDTPerpOpen long2.89660090.4 SUI0.00000000 USDT,Open long,2.896600,90.4 SUI,0.00000000 USDT
2025-02-10 00:45:19,FETUSDTPerp,2025-02-10 00:45:19FETUSDTPerpOpen long0.7289000311 FET0.00000000 USDT,Open long,0.7289000,311 FET,0.00000000 USDT
2025-02-10 00:43:54,ICPUSDTPerp,2025-02-10 00:43:54ICPUSDTPerpOpen long6.69100035 ICP0.00000000 USDT,Open long,6.691000,35 ICP,0.00000000 USDT
2025-02-10 00:43:33,FETUSDTPerp,2025-02-10 00:43:33FETUSDTPerpOpen long0.7327000121 FET0.00000000 USDT,Open long,0.7327000,121 FET,0.00000000 USDT
2025-02-10 00:43:33,FETUSDTPerp,2025-02-10 00:43:33FETUSDTPerpOpen long0.7327000110 FET0.00000000 USDT,Open long,0.7327000,110 FET,0.00000000 USDT
2025-02-10 00:43:33,FETUSDTPerp,2025-02-10 00:43:33FETUSDTPerpOpen long0.732700044 FET0.00000000 USDT,Open long,0.7327000,44 FET,0.00000000 USDT
2025-02-10 00:43:07,SUIUSDTPerp,2025-02-10 00:43:07SUIUSDTPerpOpen long2.93930078.6 SUI0.00000000 USDT,Open long,2.939300,78.6 SUI,0.00000000 USDT
2025-02-10 00:43:05,HBARUSDTPerp,"2025-02-10 00:43:05HBARUSDTPerpOpen long0.223671,040 HBAR0.00000000 USDT",Open long,0.22367,"1,040 HBAR",0.00000000 USDT
2025-02-10 00:40:30,SUIUSDTPerp,2025-02-10 00:40:30SUIUSDTPerpOpen long2.95700069.4 SUI0.00000000 USDT,Open long,2.957000,69.4 SUI,0.00000000 USDT
2025-02-10 00:40:20,HBARUSDTPerp,2025-02-10 00:40:20HBARUSDTPerpOpen long0.22471920 HBAR0.00000000 USDT,Open long,0.22471,920 HBAR,0.00000000 USDT
2025-02-10 00:40:12,ICPUSDTPerp,2025-02-10 00:40:12ICPUSDTPerpOpen long6.73200030 ICP0.00000000 USDT,Open long,6.732000,30 ICP,0.00000000 USDT
2025-02-10 00:39:18,1000PEPEUSDTPerp,"2025-02-10 00:39:181000PEPEUSDTPerpOpen long0.009096426,083 1000PEPE0.00000000 USDT",Open long,0.0090964,"26,083 1000PEPE",0.00000000 USDT
2025-02-10 00:33:34,1000PEPEUSDTPerp,"2025-02-10 00:33:341000PEPEUSDTPerpOpen long0.009153123,041 1000PEPE0.00000000 USDT",Open long,0.0091531,"23,041 1000PEPE",0.00000000 USDT
2025-02-09 19:14:19,SUIUSDTPerp,2025-02-09 19:14:19SUIUSDTPerpClose long3.07410068.1 SUI+5.53653000 USDT,Close long,3.074100,68.1 SUI,+5.53653000 USDT
2025-02-09 19:06:06,HBARUSDTPerp,"2025-02-09 19:06:06HBARUSDTPerpClose long0.234231,940 HBAR+7.59920000 USDT",Close long,0.23423,"1,940 HBAR",+7.59920000 USDT
2025-02-09 18:40:10,1000PEPEUSDTPerp,"2025-02-09 18:40:101000PEPEUSDTPerpClose long0.009600247,427 1000PEPE+13.64715749 USDT",Close long,0.0096002,"47,427 1000PEPE",+13.64715749 USDT
2025-02-09 18:21:04,FETUSDTPerp,2025-02-09 18:21:04FETUSDTPerpClose long0.7614000276 FET+4.94040000 USDT,Close long,0.7614000,276 FET,+4.94040000 USDT
2025-02-09 16:53:19,SUIUSDTPerp,2025-02-09 16:53:19SUIUSDTPerpOpen long2.99280068.1 SUI0.00000000 USDT,Open long,2.992800,68.1 SUI,0.00000000 USDT
2025-02-09 16:53:09,FETUSDTPerp,2025-02-09 16:53:09FETUSDTPerpOpen long0.7435000213 FET0.00000000 USDT,Open long,0.7435000,213 FET,0.00000000 USDT
2025-02-09 16:53:09,FETUSDTPerp,2025-02-09 16:53:09FETUSDTPerpOpen long0.743500063 FET0.00000000 USDT,Open long,0.7435000,63 FET,0.00000000 USDT
2025-02-09 16:50:29,1000PEPEUSDTPerp,"2025-02-09 16:50:291000PEPEUSDTPerpOpen long0.00928827,542 1000PEPE0.00000000 USDT",Open long,0.0092882,"7,542 1000PEPE",0.00000000 USDT
2025-02-09 16:50:29,1000PEPEUSDTPerp,"2025-02-09 16:50:291000PEPEUSDTPerpOpen long0.009288217,640 1000PEPE0.00000000 USDT",Open long,0.0092882,"17,640 1000PEPE",0.00000000 USDT
2025-02-09 16:48:25,1000PEPEUSDTPerp,"2025-02-09 16:48:251000PEPEUSDTPerpOpen long0.009339922,245 1000PEPE0.00000000 USDT",Open long,0.0093399,"22,245 1000PEPE",0.00000000 USDT
2025-02-09 16:48:24,HBARUSDTPerp,"2025-02-09 16:48:24HBARUSDTPerpOpen long0.229751,030 HBAR0.00000000 USDT",Open long,0.22975,"1,030 HBAR",0.00000000 USDT
2025-02-09 16:18:42,HBARUSDTPerp,2025-02-09 16:18:42HBARUSDTPerpOpen long0.23095910 HBAR0.00000000 USDT,Open long,0.23095,910 HBAR,0.00000000 USDT
